Drug:0 CCC[N+]#[C-]
Drug:5263 OC1=C2N(C[C@H]3O[C@@H]4CC[C@@H](C4)N3C2=O)C=C(C(=O)NCC2=C(F)C=C(F)C=C2F)C1=O
Drug:5264 CCCOCCOCCOCCCNC1=C(N)C(=O)C1=O
Drug:5265 CCCCCCCC/C=C/CCCCCCCC(=O)O
Drug:5266 OS(=O)(=O)C1=CC2=CC=C(C=C2C=C1)S(O)(=O)=O
Drug:5267 C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
Drug:5268 [H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CC=CO1)C(O)=O
Drug:5269 CN1C(=CC=C1C1=CC=C2NC(=S)OC(C)(C)C2=C1)C#N
Drug:5270 CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1
Drug:5271 CCCCCCCCCC1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1
Drug:5272 [H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(OCC2=CC=CC=C2)=N1
Drug:5273 N1C=NC2=C1N=CN1C=CN=C21
Drug:5274 FC(F)(F)OC1=CC=C(NC(=O)C2=C(NCC3=CC=NC4=CC=CC=C34)C=CS2)C=C1
Drug:5275 [H][C@]1(C[C@@]2([H])[C@]3([H])CCC4=CC(OC(=O)CC)=CC=C4[C@@]3([H])CC[C@]2(C)[C@@]1([H])OC(=O)CC)OC(=O)CC
Drug:5276 OC(=O)CC1=CC(=C(O)C=C1)[N+]([O-])=O
Drug:5277 COC(=O)C[C@@H]1C[C@@H](COC2=CC=C(C=C2)C2=CC=C(C=C2)C(\N)=N\C(=O)OC)NC1=O
Drug:5278 ONC(=O)C1(CS(=O)(=O)C2=CC=C(OC3=CC=C(Cl)C=C3)C=C2)CCOCC1
Drug:5279 COC1=CC(CN2C(=CC3=C2C=CC=C3)C(=O)NC2CCN(CC2)C(C)C)=CC=C1
Drug:5280 COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)O
Drug:5281 NS(=O)(=O)C1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(Cl)C=C1)C(F)(F)F
Drug:5282 [H][C@]1(O)C[C@@]([H])(O[C@]1([H])CO)N1C=C(C2=CC=C(Br)S2)C(=O)NC1=O
Drug:5283 C1=CC=C(C(=C1)CCN)O
Drug:5284 CN(C)C1=CC=C(C=C1)C(=O)NCCCCCCC(=O)NO
Drug:5285 CC(C)NCC(O)COc1cccc2[nH]ccc12
Drug:5286 CSC1=NC2=CC=CC=C2C(=O)N1C1=C(F)C=CC=C1F
Drug:5287 NC(N)=NCC1=CC(I)=CC=C1
Drug:5288 [H][C@]1(C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl
Drug:5289 [H][C@@](N)(CC1CCCCC1)[C@]([H])(O)C(=O)NNC1=CC=C(C)C=C1
Drug:5290 CC1=C(C)N=C(NS(=O)(=O)C2=CC=C(N)C=C2)O1
Drug:5291 [H][C@@](C)(N)C(=O)NC1=CC=C(SC2=CC3=C(C=C2)N=C(N3)N=C(O)OC)C=C1
Drug:5292 OC1=CC2=C(C=C1)N=C(O2)C1=C2C=CC=C(O)C2=CC=C1
Drug:5293 [H][C@](O)(CO)COC1=CC(=CC=C1)C(=O)C1=C(N)N(N=C1)C1=CC=C(F)C=C1
Drug:5294 OC(O)CC1=CC(Br)=C(OC2=CC(C(O)NCCC3=CC=CC=C3)=C(O)C=C2)C(Br)=C1
Drug:5295 C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O
Drug:5296 C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1c1ccc2[nH]c(=O)cc(c2c1)C(F)(F)F
Drug:5297 CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OCC
Drug:5298 [H][C@@]12C[C@]([H])(O)[C@]([H])(O)C(=O)C=CC[C@]([H])(C)OC(=O)C3=C(C=C(OC)C=C3O)[C@@]1([H])O2
Drug:5299 CCC1=CC=C(O1)\C=C1/SC(N[C@H](C2=NN=NN2)C2=CC=C(F)C=C2)=NC1=O
Drug:5300 OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O
Drug:5301 C[C@H]1C2=CC(=C(C=C2CCN1)O)O
Drug:5302 CC(C)C[C@@H](NC(N)=N)C(=O)NCC(=O)N1CCC(CC1)C1=CC(=NN1C)C1=CC=C(OCC2=CC=C(O2)C(O)=O)C(Cl)=C1Cl
Drug:5303 N1(C(=O)C=CC1=O)CCC12[Fe]3456789%10C%11C3C4C5C6%11.C7(C8C19)C2%10
Drug:5304 O=C1C2=CC=CC3=C2C(=NN3)C2=C1C=CC=C2
Drug:5305 CC1=CC(=O)OC2=C1C=CC(=C2)O
Drug:5306 O[C@H]1[C@H]2CC[C@](O)(N2)[C@@H](O)[C@@H]1O
Drug:5307 [H]C(N)(O)[C@]1(O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O)N=[N+]=[N-]
Drug:5308 ClC1=CC=C(S1)C(=O)NCCNC(=O)C1=CC=C(C=C1)N1C=CC=CC1=O
Drug:5309 CCCCOC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@H](CCC(O)=O)C(O)=O
Drug:5310 CC(C)(N)CO.CN1C2=C(N=CN2)C(=O)N(C)C1=O
Drug:5311 C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+]
Drug:5312 CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1
Drug:5313 [H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]4C[C@@H](O[C@@H]4COP(O)(O)=O)N4C=CC(=O)N([H])C4=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
Drug:5314 CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
Drug:5315 C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)OCC6=CC=CC=C6.Cl
Drug:5316 [H][C@]1(O)[C@]([H])(O)[C@@]2([H])N=C(O[C@@]2([H])[C@]1([H])CO)N=C
Drug:5317 CCCC(=O)NC1=C(I)C=C(I)C(CC(CC)C(O)=O)=C1I
Drug:5318 [H][C@@]12COCCN1C(=O)C1=C(OCOC(=O)OC)C(=O)C=CN1N2[C@H]1C2=CC=C(F)C(F)=C2CSC2=CC=CC=C12
Drug:5319 COC1=CC=C(C=C1)\N=C1\NC(N)=C(S1)C(=O)C1=CC=C(OC)C=C1
Drug:5320 [H][C@@]12CCC[C@]1([H])[C@@]([H])(OC1=CC=CC(O)=C21)C1=CC=C(O)C=C1
Drug:5321 OC1=CC=CC=C1[S@](=O)CCCCP(O)(O)=O
Drug:5322 [H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C
Drug:5323 CC(=O)N[C@@H](CS)C(=O)O
Drug:5324 [H][C@](NC(=O)CCC(O)=O)(C(O)=O)C1=CC=CC=C1
Drug:5325 CC1=CC(NC2=C3C=CC=CC3=NC(=N2)C2=CC=CC=C2)=NN1
Drug:5326 COC1=CC(=CC(OC)=C1)C1=NC(=C(CN)C(N)=N1)C1=CC=C(Cl)C=C1Cl
Drug:5327 [O-]P([O-])(F)=O
Drug:5328 CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1
Drug:5329 CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34
Drug:5330 CCCCCCCCCCC/C=C\CCCCC(=O)[O-]
Drug:5331 CC(=N)NCCC[C@H](N)C(O)=O
Drug:5332 NC1=CC=C(SC2=CC=C(C=C2)N2C(=O)C3=C(C=C(N)C=C3)C2=O)C=C1
Drug:5333 CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCC(CCO)CC2)C=C1
Drug:5334 NC(=[NH2+])C1=CC2=C(NC(=N2)C2=CC=CNC2=O)C=C1
Drug:5335 COCC(COC)N1C=CC2=C1C=CC1=NC(N)=NC(N)=C21
Drug:5336 [C@H]([C@@H](C(=O)O)O)(C(=O)O)O
Drug:5337 CCOP(=O)(CC1=CC=C(C)C=C1)OCC
Drug:5338 C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O
Drug:5339 COC1=C(C=C(C=C1C1=CC2=CC=C(NS(C)(=O)=O)C=C2C=C1)N1C=CC(=O)NC1=O)C(C)(C)C
Drug:5340 [H][C@@](C)(N1CC[C@]([H])(NS(=O)(=O)C2=CC3=C(S2)C=CC(Cl)=C3)C1=O)C(=O)N1CCOCC1
Drug:5341 CN1C=C(C2=CC=CC=C12)C1=C(C(=O)NC1=O)C1=CN(CCCN)C2=C1C=CC=C2
Drug:5342 NC1=C(F)C=C(C=C1Cl)S(=O)(=O)NC1=NN=C(S1)S(N)(=O)=O
Drug:5343 [H][C@@]1(CC2=C(CN1S(=O)(=O)C1=CC=C(C=C1)C1=CC=CC=C1)C=CC=C2)C(O)=O
Drug:5344 C1=CC=C2C(=C1)C(=O)C(=CO2)C(=O)O
Drug:5345 CC1(C)CCC(C)(C)C2=C1C=CC(=C2)[C@H](O)C(=O)NC1=C(F)C=C(C=C1)C(O)=O
Drug:5346 COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
Drug:5347 CC1=CC(N)=C(N)C=C1C
Drug:5348 C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)[O-]
Drug:5349 CCCC(CCC)C(N)=O
Drug:5350 CCCN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C
Drug:5351 [H][C@]1(O)CC(=O)O[C@@]([H])(CC[C@@]2([H])[C@@]([H])(C)C=CC3=CCC[C@]([H])(O)[C@]23[H])C1
Drug:5352 NC1=CNC(=O)NC1=O
Drug:5353 C1=CC=C2C(=C1)N=C(S2)S
Drug:5354 COC(=O)C1CCN(CC1)C(=O)C1=CC=C(NCC2=NC3=C(N=C2)N=C(N)N=C3N)C=C1
Drug:5355 CCNC(=O)N1CCC(CC1)NC1=NC(C2=CNC3=CC=CC=C23)=C(Cl)C=N1
Drug:5356 [H][C@@](N)(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC=C(C=C1)C(N)=[NH2+]
Drug:5357 OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F
Drug:5358 [H]N([H])C1=[N+](C)C=NC2=C1N([H])C=N2
Drug:5359 NC1=NC(=C(C=N1)\N=N\C1=CC=CC=C1)C1=C(Cl)C=C(Cl)C=C1
Drug:5360 C[C@](O)(COC1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
Drug:5361 ClC1=CC=C(C(Cl)=C1)S(=O)(=O)NC1=CC(Cl)=C(OC2=CN=C3C=CC=CC3=C2)C(Cl)=C1
Drug:5362 FC1=CC(=CC=C1)C(=O)NC1=CC=CC(=C1)C1=NN=NN1
Drug:5363 [H][C@](O)(C[C@]([H])(N)C(O)=O)SC[C@]([H])(N)C(O)=O
Drug:5364 CC(C)(N)C(O)=O
Drug:5365 OS(O)(=O)=S
Drug:5366 CNS(=O)(=O)CC1=CC=C(N\N=C2/C(=O)NC3=C2C2=C(C=C3)N=CS2)C=C1
Drug:5367 [H][C@@](CC(O)=O)(NC(=O)C1=CC=C(CNS(=O)(=O)C2=CC(C(O)=O)=C(O)C=C2)C=C1)C(C)=O
Drug:5368 C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
Drug:5369 NC1=NC=C(CC2=CC=CC=C2)S1
Drug:5370 CCOC(=O)\C=C\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@H](C(C)C)NC(=O)C1=NOC(C)=C1)CC1=CC=C(F)C=C1
Drug:5371 [H][C@]1(C)CN(CCCCCCCCNC=O)C[C@@]([H])(C)O1
Drug:5372 O=C1NNC(=O)C2=CC(=CC=C12)[N+]1=NC(\C=C\C2=CC=CC=C2)=NN1C1=NC2=C(S1)C=CC=C2
Drug:5373 [H][C@@](CC1=CC=CC=C1)(NC(=O)C(=O)CC(=O)NCCC1=NC=CC=C1)C(=O)N(C)C
Drug:5374 CS(=O)C
Drug:5375 CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1
Drug:5376 CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
Drug:5377 CCN1C2=CC=C(CNC)C=C2C2=C1C=CC=C2
Drug:5378 O\C(=C/C(=O)C1=CNC2=CC=C(Cl)C=C12)C1=NN=NN1
Drug:5379 [H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12
Drug:5380 [Cr+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
Drug:5381 [H][C@](S)(CCS)CCCCC(O)=O
Drug:5382 [H][C@]1(CCCN1C(=O)CNC1CCCCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
Drug:5383 [H][C@](CO)(NC(=O)C(Cl)Cl)[C@]([H])(O)C1=CC=C(C=C1)S(C)(=O)=O
Drug:5384 O=C1NC(=O)\C(S1)=C\C1=CC2=C(C=C1)N=CC=N2
Drug:5385 CNS(=O)(=O)C1=CC=C(NC2=NC(=CC=N2)C2=CN=C(C)N2C2CC2)C=C1
Drug:5386 [H][C@](CC([O-])=O)(C(O)=O)C1=CC(C2=NC3=C(N2)C=C(C=C3)C(N)=N)=C([O-])C(Br)=C1
Drug:5387 CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
Drug:5388 N#CC1=C2N=C(NCC3CCCCC3)N=C(NC3=CC=CC=C3)N2N=C1
Drug:5389 NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@H]2O[C@@H](O[C@@H]12)P(O)(O)=O
Drug:5390 [H][C@@]1(COC2=CC=CC=C2)CCCN1S(=O)(=O)C1=CC2=C(C=C1)N(C)C(=O)C2=O
Drug:5391 N
Drug:5392 C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
Drug:5393 CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)OS(=O)(=O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O
Drug:5394 [H][C@@]12CO[C@](C)(O[C@]1([H])[C@H](O)[C@@H](O)[C@H](OC)O2)C(O)=O
Drug:5395 [H][C@]12SCC(COC)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
Drug:5396 NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=C(O)C=CC=N1
Drug:5397 OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F
Drug:5398 [H][C@@](CC1=CC=C(C[Se](O)=O)C=C1)(NC(=O)OC(C)(C)C)C(=O)OC
Drug:5399 COC1=CC(CC2=CN=C(N)N=C2N)=C2C=CC(OC2=C1OC)C1CC1
Drug:5400 OC(C1=CC=C(NCC(F)(F)F)C=C1)(C(F)(F)F)C(F)(F)F
Drug:5401 CC1=CC(=CC(C)=C1OC1=C(Br)C(CO)=NC(NC2=CC=C(C=C2)C#N)=N1)C#N
Drug:5402 [H][C@@](O)(COC)[C@]([H])(CC(C)C)NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=CC=C1
Drug:5403 C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Fe+2]
Drug:5404 O=C1NOC2=C1CCNC2
Drug:5405 COC1=C(OC)C=C(CCNCC(O)COC2=CC=CC(C)=C2)C=C1
Drug:5406 Fc1cc(ccc1NC(=O)CN1CC[C@@H](C1)NC(=O)c1ccc(Cl)s1)-n1ccccc1=O
Drug:5407 [H][C@@]12O[C@]1(C)CC[C@]1([H])[C@]2(C)CCC[N@+]1([O-])CC(=O)NC1=CC=C(NC(=O)CCCC(O)=O)C=C1
Drug:5408 OOOC1=C(Cl)C=C(NC2=CC=CC=C2C(O)=O)C=C1Cl
Drug:5409 NS(=O)(=O)OC1=CC=C2C=C(CC3CCCCCC3)S(=O)(=O)C2=C1
Drug:5410 COC(CNC(N)=O)C[Hg]Cl
Drug:5411 OC(=O)C1=C(O)C(I)=CC(I)=C1
Drug:5412 NC(=[NH2+])C1=CC2=C(S1)N=CC=C2
Drug:5413 CN1C(N)=C(NC(=O)NCCN)C=[N+]1CC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=NSC(N)=N1)C2=O)C([O-])=O
Drug:5414 C([C@H](C=O)O)OP(=O)(O)O
Drug:5415 N[C@@H](CN(O)N=O)C(O)=O
Drug:5416 CNC[C@H](O)c1cccc(O)c1
Drug:5417 CC(C)C[C@@H](N=C(N)N)C(=O)NCC(=O)N1CCC(CC1)C1=CC(=NN1C)C1=C(Cl)C(Cl)=C(OCC2=CC=C(NC(C)=O)C=C2)C=C1
Drug:5418 CN1C2=C(OC(=O)N(C2=O)C2=CC=CC=N2)C2=CC=CC=C2S1(=O)=O
Drug:5419 CCCC1=CC=C(NC(=O)C2=CC=CC=C2NCC2=CNC(=O)C=C2)C=C1C(F)(F)F
Drug:5420 CC(=O)NCCSSCCNC(=O)C1CCC(CC1)NC(=O)C1=NC=CN=C1C(O)=O
Drug:5421 CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1
Drug:5422 CC1=CC(N)=C2C=CC=CC2=[N+]1CCCCCCCCCC[N+]1=C(C)C=C(N)C2=C1C=CC=C2
Drug:5423 COC1=CC(=C([O-])C(=C1)C1=CC2=CC(=CC=C2N1)C(N)=[NH2+])C1=CC=CC=C1
Drug:5424 NS(=O)(=O)C1=CC=C(C=C1C(F)(F)F)C1=CC=C(O1)\C=C1/SC(=N)NC1=O
Drug:5425 CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2
Drug:5426 CCOP(=O)(O)O
Drug:5427 [H][C@](C)(CC)[C@]([H])(N=C(O)[C@]([H])(OCC1=CC=CC=C1)[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(OCC1=CC=CC=C1)C(O)=N[C@]([H])(C(O)=NC)[C@@]([H])(C)CC)C(O)=NC
Drug:5428 CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(N=C2N)C#CC[C@H]1CC[C@@H](CC1)C(=O)OC
Drug:5429 NC(=N)NS(=O)(=O)C1=CC=C(N\C=C2/C(=O)NC3=C2C=CC=C3)C=C1
Drug:5430 [H][C@](O)(CC1=CNC2=C1C=CC=C2)C(O)=O
Drug:5431 OC(=O)CCCCCNC(=O)CCC[P@](O)(=O)OC1=CC=C(C=C1)[N+]([O-])=O
Drug:5432 CC(=O)N1CCN(CC1)C(=O)[C@H](CC1=CC=CC(=C1)C(N)=N)NS(=O)(=O)C1=CC=C2C=CC=CC2=C1
Drug:5433 CC1=NC2=C(C3=CC=CC=C3N2CC2=CC(=CC=C2)[C@H](C2CCCC2)C(=O)N[C@@H](CO)C2=CC=CC=C2)C(C)=C1
Drug:5434 C1=C(NC(=O)NC1=O)C(=O)O
Drug:5435 C(=O)(C(=O)O)O
Drug:5436 [H][C@@](CO)(CC1=CC=CC=C1)NC(=O)[C@@]([H])(NC(=O)[C@]([H])(C)NC(=O)OCC1=CC=CC=C1)C(C)C
Drug:5437 [H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
Drug:5438 CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
Drug:5439 COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O)OC1=CC=CC=C1
Drug:5440 CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
Drug:5441 CSCC[C@@H](NC(N)=O)C(O)=O
Drug:5442 CCCCCCCCCCCCCCCCOC1=NC2=C(C=C(C)C=C2)C(=O)O1
Drug:5443 OC(COC1=CC=CC(=C1)C1=CC=CC(=C1)C1=CC=CC=C1)(P(O)(O)=O)P(O)(O)=O
Drug:5444 [H]N(C1=CC=C(OC[C@H](O)CN(C)C)C=C1)C1=NC=C(Br)C(=N1)N([H])C1=CC=CC=C1
Drug:5445 CC1(C)CC(C)(C)CC(C)(N)C1
Drug:5446 N[C@@H]([C@@H](O)C(O)=O)C(O)=O
Drug:5447 [H][C@@]1(C[P@@]([H])([O-])=O)CCC2=CC(C)=CC=C2O1
Drug:5448 [H][C@@](CC1=CC=CC(=C1)C(N)=N)(NC(=O)CNS(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC
Drug:5449 [H][C@@](CCCCC([O-])=N[C@]1([H])C(=O)N2[C@]1([H])SC[C@@]([H])(COC(C)=O)[C@@]2([H])C(O)=O)(N=C(O)CN)C(O)=O
Drug:5450 NC1(CC1)[P@](O)([O-])=O
Drug:5451 [Cl-].[Cl-].[Sn+4].CCC1=C2[N-]C(\C=C3/N=C(/C=C4\[N-]\C(=C/C5=N/C(=C\2)/C(C)=C5CC)C(C)=C4CCC(O)=O)C(CCC(O)=O)=C3C)=C1C
Drug:5452 CN1CCCC(CC1)n1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O
Drug:5453 CCC1=C(C)NN(C1=O)C1=NN=NN1
Drug:5454 O[C@@H]1CN(N(CC2=CC=C(O)C=C2)C(=O)N(CC2=CC=C(O)C=C2)[C@@H]1CC1=CC=CC=C1)S(=O)(=O)C1=CC(=CC=C1)C#N
Drug:5455 [H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C
Drug:5456 [H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CC[C@H](OC(C)=O)C=C3CC[C@@]21[H]
Drug:5457 CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@H]1[C@H](C)O[C@H](C[C@@H]1OC)O[C@H]1[C@@H](C)\C=C\C=C2/CO[C@@H]3[C@H](O)C(C)=C[C@@H](C(=O)O[C@H]4C[C@@H](C\C=C1/C)O[C@@]1(CC[C@H](C)[C@@H](C(C)C)O1)C4)[C@]23O.CC[C@@H](C)[C@H]1O[C@@]2(CC[C@@H]1C)O[C@@H]1C\C=C(C)\[C@@H](O[C@@H]3O[C@@H](C)[C@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](OC)C4)[C@@H](OC)C3)[C@@H](C)\C=C\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O[C@@H](C1)C2)[C@]34O
Drug:5458 [H][C@@]1(C)C[N@@]1C1=CC(=O)C2=C(C(CO)=C(N2C)C2=CC=CC=C2)C1=O
Drug:5459 CC1=CC(=CC(C)=C1O)C1=NC2=CC=CC=C2O1
Drug:5460 NS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=C1/SC(=O)NC1=O
Drug:5461 NCC[C@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
Drug:5462 [H][C@@]1(CC(O)=O)NC2=CC=CC=C2CN(C)C1=O
Drug:5463 CNCCC1=CNC2=C1C=C(C=C2)O
Drug:5464 COC(=O)NC1=CC(=C(C=C1)Cl)Cl
Drug:5465 [H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C
Drug:5466 CNCC(C1=CC(=C(C=C1)O)O)O
Drug:5467 [H][C@@]12CC3=C4C(NC=C4[C@]1([H])[C@]1([H])N(C(O)=C(C(C)=O)C1=O)C2(C)C)=CC=C3
Drug:5468 [Fe].[H][C@@]1(CCCN(O)C(C)=[OH+])NC(=O)CNC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@]([H])(CCCN(O)C(C)=[OH+])NC(=O)[C@]([H])(CCCN(O)C(C)=[OH+])NC1=O
Drug:5469 CC(C)Nc1cc(N[C@H]2CC[C@H](N)CC2)nc2c(cnn12)C#N
Drug:5470 OP(O)(=O)C(SC1=CC=C(Cl)C=C1)P(O)(O)=O
Drug:5471 C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N
Drug:5472 [H][C@@]1(CCCCN1)C(F)(F)CNC1=NC=CC2=C1N=C(CC1=CC=CC=C1N1C=NC=N1)O2
Drug:5473 NC1=C2N=CN([C@@H]3O[C@H](CO[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]4O[C@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1
Drug:5474 CN1CC(c2ccccc2)c2cccc(N)c2C1
Drug:5475 COC1=C(C=CC(=C1)/C=C/C(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Drug:5476 [H][C@]1(O)C=C[C@@]([H])(O)[C@]1([H])OC(=O)C1=C(O)C=CC2=C(C)C=C(OC)C=C12
Drug:5477 [H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
Drug:5478 [H][C@]12CC[C@]3(C)C(=O)N(CC4=CC=CN=C4)C(=O)C[C@@]3([H])[C@]1([H])CCC1=C2C=CC(OS(N)(=O)=O)=C1
Drug:5479 [H]N([H])C1=NC(=O)C2=C(N([H])C[C@@H](CN([H])C3=CC=C(C=C3)C(=O)N([H])[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1[H]
Drug:5480 COC(=O)N(C)C1=C(N)N=C(N=C1N)C1=NN(CC2=C(F)C=CC=C2)C2=C1C=CC=N2
Drug:5481 NC(=O)C1=CC2=CC(=CC=C2O1)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1
Drug:5482 OS(=O)(=O)C1=CC2=C(C=CC=C2)C=C1
Drug:5483 C(NC1=C2C=CC=CC2=NC2=C1CCCC2)C1=CC=CC=C1
Drug:5484 N[C@@H](CC\C=C\[B-](O)(O)O)C(O)=O
Drug:5485 O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12
